barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr2B1bio2tp1bbendophytestech3	ITS1_4	GR2	B1	bio2	tp1	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech3
Gr2B1bio2tp1bbendophytestech4	ITS1_5	GR2	B1	bio2	tp1	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech4
Gr2B1bio2tp1cyp79endophytestech1	ITS1_6	GR2	B1	bio2	tp1	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech1
Gr2B1bio2tp1cyp79endophytestech2	ITS1_7	GR2	B1	bio2	tp1	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech2
Gr2B1bio2tp1cyp79endophytestech3	ITS1_8	GR2	B1	bio2	tp1	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech3
Gr2B1bio2tp1cyp79endophytestech4	ITS1_9	GR2	B1	bio2	tp1	cyp79	endophytes	tech4	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech4
Gr2B1bio2tp1depsendophytestech1	ITS1_10	GR2	B1	bio2	tp1	deps	endophytes	tech1	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech1
Gr2B1bio2tp1depsendophytestech2	ITS1_11	GR2	B1	bio2	tp1	deps	endophytes	tech2	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech2
Gr2B1bio2tp1depsendophytestech3	ITS1_12	GR2	B1	bio2	tp1	deps	endophytes	tech3	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech3
Gr2B1bio2tp1depsendophytestech4	ITS1_13	GR2	B1	bio2	tp1	deps	endophytes	tech4	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech4
